Date,GBP,IDR,BRZ,EU,JPY,RUB,INR,CNY
2011-04-04 00:00:00,0.61467,8659.0,1.6001,0.70038,84.79,28.231,44.291,6.5399
2011-04-11 00:00:00,0.61289,8663.0,1.5817,0.69204,83.9,28.143,44.451,6.5352
2011-04-18 00:00:00,0.61092,8659.0,1.5743,0.69353,82.55,28.168,44.407,6.5196
2011-04-25 00:00:00,0.60299,8605.0,1.5703,0.67866,81.73,27.606,44.4,6.5074
2011-05-02 00:00:00,0.60538,8564.0,1.5962,0.67737,80.68,27.414,44.575,6.4924
2011-05-09 00:00:00,0.61164,8558.0,1.6152,0.69886,80.84,27.825,44.806,6.4953
2011-05-16 00:00:00,0.61713,8567.0,1.6219,0.70378,81.44,28.082,45.066,6.503
2011-05-23 00:00:00,0.61537,8582.0,1.6253,0.70811,81.75,28.32,45.249,6.496
2011-05-30 00:00:00,0.60913,8540.0,1.5839,0.6943,80.98,27.962,44.925,6.4803
2011-06-06 00:00:00,0.61044,8517.0,1.5828,0.68535,80.06,27.774,44.719,6.4776
2011-06-13 00:00:00,0.6157,8568.0,1.5956,0.69979,80.5,28.032,44.828,6.4784
2011-06-20 00:00:00,0.62119,8604.0,1.5945,0.69994,80.28,28.092,44.941,6.4699
2011-06-27 00:00:00,0.62526,8595.0,1.5785,0.69609,80.77,28.075,44.84,6.4684
2011-07-04 00:00:00,0.62422,8534.0,1.5637,0.69667,81.09,27.941,44.41,6.4654
2011-07-11 00:00:00,0.62514,8549.0,1.5779,0.70972,79.539,28.188,44.546,6.4648
2011-07-18 00:00:00,0.61867,8543.0,1.5658,0.70398,78.824,27.973,44.477,6.459
2011-07-25 00:00:00,0.61223,8504.0,1.5551,0.69623,77.895,27.617,44.195,6.4425
2011-08-01 00:00:00,0.61238,8501.0,1.5672,0.70156,77.887,27.905,44.391,6.437
2011-08-08 00:00:00,0.61453,8558.0,1.6138,0.70175,76.947,29.309,45.232,6.4142
2011-08-15 00:00:00,0.60825,8540.0,1.596,0.69541,76.613,28.925,45.521,6.3888
2011-08-22 00:00:00,0.60908,8562.0,1.6039,0.69314,76.745,28.938,45.898,6.3923
2011-08-29 00:00:00,0.61407,8533.0,1.6048,0.6956,76.767,28.969,46.011,6.3798
2011-09-05 00:00:00,0.62362,8564.0,1.6554,0.71306,77.282,29.589,46.181,6.3884
2011-09-12 00:00:00,0.63242,8735.0,1.7106,0.72902,76.854,30.383,47.457,6.3943
